№          Сдвиг      Ошибка     Указатель  В стек     Конец      Символ     Множество  
1          False      True       4          False      False      A          id         
2          False      False      7          False      False      A`         +          
3          False      True       10         False      False      A`         #, +       
4          True       True       5          False      False      id         id         
5          False      True       2          True       False      A`         +, #       
6          True       True       -1         False      True       #          #          
7          True       True       8          False      False      +          +          
8          False      True       1          True       False      A          id         
9          False      True       2          False      False      A`         +, #       
10         False      True       -1         False      False      e          #, +       

